,ImageId,PredictionString,NumCars,DetectedCars,TP,FP,FN,CSI
4187,ID_7d9650bed,8 0.12879 1.61391 -3.10418 11.7858 4.80799 21.4507 37 0.134011 -3.08121 -3.08692 -3.65482 14.7775 91.8602 43 0.00202967 3.08736 -3.11328 -8.96758 16.7022 103.96 48 0.073808 1.52662 -3.10205 -30.4444 11.6152 74.4625 70 0.138326 3.12184 -3.13063 -3.91328 3.81468 17.0897 16 0.128797 -1.61088 -3.10418 11.8814 4.07764 14.7878 2 0.134013 2.22135 -3.08692 15.8615 13.0058 74.0649 16 0.00202607 1.58324 -3.11328 -8.31436 9.61815 58.5574 16 0.134014 0.00130939 -3.08693 0.224305 3.37535 13.4093 16 0.134014 -0.0171091 -3.08692 14.4394 7.53971 38.2643,10,14,6,8,4,0.333
2129,ID_a114ff85e,28 0.163702 0.0111205 -3.11004 -3.06064 3.50138 13.1825 35 0.161695 0.023032 -3.09859 -13.0463 4.64901 23.8624 61 0.116031 -0.0548684 -3.0709 -17.2384 8.31513 50.0911 16 0.163702 0.0495235 -3.11005 -3.506 7.03341 37.6024 16 0.163702 -0.0744796 -3.11005 1.24703 10.8883 63.257 46 0.163702 -0.0744796 -3.11005 7.04572 16.7545 99.558,6,11,5,6,1,0.417
2939,ID_10de9f13f,31 0.181783 -0.034954 -3.04881 12.2834 5.3828 21.1943 66 0.160876 0.0336737 -3.07896 2.35919 5.88352 25.5043 28 0.158348 0.0102263 -3.07134 -3.55602 3.25678 11.2851 37 0.162418 3.0371 -3.1165 -13.44 4.8545 24.2175 27 0.175643 -3.08666 3.11837 -23.2505 5.95364 33.6755 23 0.202181 -3.07318 -3.09787 -26.8672 9.95347 57.619 46 0.160877 0.0507614 -3.07896 15.0771 12.773 62.5982 16 0.160877 0.0253404 -3.07895 9.72483 9.332 46.386 16 0.160876 -0.0396826 -3.07895 11.1316 11.6227 58.8779 2 0.160877 0.0340843 -3.07895 11.4457 12.9218 66.8831 6 0.161842 1.02793 -3.08151 11.1799 17.7571 93.3278 16 0.160877 0.0553056 -3.07896 -0.799108 10.2212 54.1926 46 0.160877 0.0727616 -3.07896 1.36614 13.0783 71.4208 16 0.202177 0.565453 -3.09787 -32.1931 10.4066 64.4144,14,15,9,6,5,0.45
2217,ID_5f6526a36,28 0.154686 0.279562 -3.05863 -1.61304 3.2453 10.8069 28 0.096247 0.400746 3.07404 -6.19473 2.88559 9.58913 35 0.148635 0.77831 -3.08674 -8.96579 5.05531 24.4038 18 0.132768 3.02841 -3.10304 -20.6256 12.4009 69.371 47 0.0990259 3.05081 -3.12979 -12.0833 12.1181 65.6996 47 0.132718 3.0346 -3.09502 -8.23925 12.1798 64.4399 12 0.304065 3.08382 -3.10689 -5.22147 11.0433 59.3138 43 0.133676 -3.00918 -3.08013 -2.95336 9.84666 51.0863 9 -0.183579 -1.94834 2.5174 414.744 689.119 3486.53 66 0.179637 -0.0450138 -3.11031 26.4461 13.9232 64.6343 16 0.148634 3.02866 -3.08674 -18.2798 7.83476 44.5356 46 0.0990224 3.01767 -3.12979 -13.8655 10.0007 55.6856 46 0.132718 3.06509 -3.09502 -11.2162 13.3449 73.3084 32 -0.548956 -0.561982 2.77964 519.834 667.847 3502.94 16 0.179635 -2.35576 -3.11031 14.6191 5.24778 18.3139 16 0.179637 -0.252889 -3.11032 25.9967 14.4774 68.8195 2 0.179637 -0.0228118 -3.11031 28.9144 17.1325 81.7606,17,20,15,5,2,0.682
3015,ID_80a5afc80,28 0.153588 0.0124551 -3.09265 -3.39338 6.73319 30.9064 16 0.153588 0.126712 -3.09265 -3.86909 9.40317 46.7877 61 0.153262 5.29197e-05 -3.09163 -4.75659 26.9968 145.035,3,7,3,4,0,0.429
183,ID_906f44587,35 0.160274 0.133522 -3.07411 5.19704 3.62033 11.1053 28 0.155316 0.168587 -3.08205 6.64711 6.4188 27.6556 40 0.161697 0.0214744 -3.10938 15.1422 7.11513 29.9112 46 0.221745 -1.68705 -3.03449 25.0106 8.90891 43.3555 46 0.377637 -1.64501 -3.05226 28.176 11.0465 54.7774 28 0.107862 -1.28697 -3.13896 25.0426 11.0734 56.7558 70 0.162479 -3.05916 -3.13176 -13.8254 5.24377 26.5573 37 0.134669 -3.02099 -3.13707 -14.0959 6.08708 31.9256 70 0.136638 -3.07787 -3.10319 -10.0374 5.51683 28.6056 60 0.140052 -3.04549 3.14136 -21.9039 14.9014 88.8784 46 0.14857 3.13606 -3.08366 -30.9901 17.6659 106.698 9 0.194048 3.08578 -3.06523 -45.7187 22.7198 144.428 46 0.184717 -3.10574 -3.08712 -28.4655 22.3348 137.706 28 0.122685 -3.07045 -3.03478 -33.8736 23.806 148.176 46 0.0512666 -1.17722 3.05961 41.2785 19.2357 101.799 66 0.0920429 -0.898998 3.024 43.4743 21.5607 114.858 60 0.230125 -1.25176 -3.05423 36.3099 10.6812 49.2775 70 0.23406 -1.1389 -3.06559 33.3234 10.5655 48.6546 46 0.23406 -1.48731 -3.06559 28.552 9.32028 44.2252 16 0.22175 -1.56138 -3.03448 23.4237 8.25143 38.7726 16 0.107863 -1.35115 -3.13897 26.2993 11.0843 56.0123 16 0.162476 -3.02685 -3.13176 -10.3521 2.91794 13.7588 70 0.162775 -3.07759 3.1413 -19.9754 5.96789 30.1179 46 0.16277 -2.77603 3.1413 -17.1651 5.55539 30.7538,24,15,13,2,11,0.5
463,ID_6ee33cb3b,37 0.163549 0.00516058 -3.07383 -3.43538 4.46008 19.1376 16 0.163549 -0.0312086 -3.07384 -6.88289 6.20164 31.6907 16 0.163548 0.0174781 -3.07384 -3.86006 7.25452 37.1863 16 0.163549 0.00613561 -3.07384 -0.544837 8.93885 45.9602 16 0.163549 0.0406813 -3.07384 -7.62127 9.18926 49.7538 16 0.163549 0.0759718 -3.07383 -8.72998 12.0103 66.922 16 0.163549 0.121442 -3.07384 -4.84634 10.8569 58.6261 16 0.163549 0.0459005 -3.07384 -3.34565 11.6263 64.3391 9 0.160698 -0.301228 -3.06728 -14.6253 28.7011 165.357 2 0.163549 0.0153875 -3.07384 -10.7291 25.593 151.885 16 0.163549 -0.00592402 -3.07384 12.2604 9.6208 45.0434 2 0.163549 0.053341 -3.07383 12.268 5.2778 19.3044 2 0.163549 -0.000344073 -3.07383 10.6338 5.9283 21.7891,13,11,9,2,4,0.6
2314,ID_571d5befc,19 0.188113 0.00643444 -3.10739 6.05537 7.4419 33.8249 28 0.156569 -0.00764931 -3.07118 5.74554 8.92265 43.4007 54 0.151206 3.0744 3.11679 -4.94696 3.76333 13.7701 2 0.15657 0.0998065 -3.07117 0.231613 6.90738 35.0786 16 0.156569 0.0233344 -3.07117 2.30784 8.08319 40.3227 70 0.148773 -3.07457 3.10485 -4.1815 2.14362 5.42385 16 0.15121 -3.09345 3.11679 -3.73439 4.15613 18.8956 71 0.151128 3.10062 3.11629 -8.56818 5.95216 27.5179 46 0.151212 -3.138 3.11679 -4.49019 5.47721 27.1479,9,11,7,4,2,0.538
3587,ID_0ea9bc3a5,35 0.161862 -2.84982 -3.11465 -4.18193 11.1186 61.5108 14 0.189739 3.10358 3.12599 -6.40801 11.01 63.3734 2 0.161865 1.64814 -3.11465 6.74329 13.8782 79.4041 2 0.161863 -1.96568 -3.11464 17.6204 16.1711 90.305 16 0.161862 0.00536654 -3.11464 1.85511 11.5149 63.9057 2 0.161862 -0.0207056 -3.11464 -1.24126 13.9645 79.9563 46 0.161862 0.196965 -3.11465 -1.68853 19.1668 113.523 16 0.189744 3.06131 3.12599 -8.25404 13.2899 78.6633,8,7,5,2,3,0.5
2999,ID_f4ebdd200,70 0.147496 0.032016 -3.12978 13.5701 6.0909 23.0559 28 0.178741 0.00874732 -3.09606 12.6371 6.56167 26.8634 8 0.167856 0.0391868 -3.0742 11.7261 8.10778 38.3284 50 0.162527 -0.00475768 -3.09211 12.2167 9.57821 46.3687 19 0.146193 0.00561234 -3.08735 -3.08352 6.23045 29.266 48 0.0880719 -3.11983 -3.11125 -32.5195 12.654 72.6071 2 0.162527 0.0372453 -3.09211 12.8754 14.0772 75.753 16 0.162527 0.0786493 -3.0921 8.12352 12.3851 64.8199,8,13,7,6,1,0.5
3852,ID_d5858f18d,70 0.157014 3.08052 -3.14045 -26.2591 14.3489 81.3943 51 0.154049 3.08611 3.07258 -24.353 14.3269 81.7398 27 0.187121 -3.12306 3.10319 -24.1748 15.541 88.1363 27 0.192345 3.06743 3.00941 -23.9344 16.5159 93.4886 28 0.158297 -0.0311376 -3.07872 -2.87041 7.08599 34.0203 70 0.189051 -0.0130472 -3.05919 14.1401 6.74933 26.3928 70 0.131072 -0.0713725 3.07456 11.3872 6.09571 26.6572 70 0.149071 -0.0319454 -3.02325 8.75066 11.0068 55.0735 8 0.189431 3.03619 3.00524 -20.8755 15.195 87.0517 16 0.189051 0.00442301 -3.05918 11.0034 4.59657 16.0162 46 0.131072 0.000681907 3.07457 11.5551 7.78835 36.3148 70 0.195385 -1.74232 -3.0758 24.5492 7.74505 32.6167 46 0.195385 -1.32194 -3.07579 29.4003 9.96966 43.9864,13,10,8,2,5,0.533
3455,ID_4da08fb8a,16 0.170057 0.0511175 -3.10763 -4.062 2.71661 8.88855 71 0.217251 -0.00836002 3.10677 -5.84847 7.37966 36.7799 66 0.130481 -3.10836 3.1158 -17.0579 6.87989 32.4604 16 0.217251 0.00921774 3.10677 -6.99333 15.2295 89.7641 46 0.217248 3.11328 3.10677 -19.0113 12.0618 66.4407 2 0.217251 0.0234591 3.10677 -8.60718 24.1222 146.461,6,10,6,4,0,0.6
1420,ID_9c1657dc8,28 0.157307 0.201378 -3.08733 -3.85036 3.30362 11.6671 28 0.112392 0.457184 -3.07878 -7.7501 4.7244 23.1323 47 0.152413 2.80608 3.13696 -26.8726 9.00935 54.0075 28 0.134521 0.0845461 -3.11274 -0.501337 4.02985 16.2976 47 0.11456 -2.36715 -3.08971 -0.579648 8.62952 43.639 31 0.171035 -1.6952 -3.07088 6.61987 10.4839 54.2948 70 0.179783 -0.0173406 -3.11638 22.7107 17.0496 89.3 28 0.132866 0.0137674 -3.11276 21.1714 14.7796 75.7389 46 0.157307 -0.0950103 -3.08733 -3.91072 2.90536 7.04757 46 0.134521 -0.00486149 -3.11273 -0.378351 3.03657 8.73031 46 0.114559 -0.193723 -3.08971 0.340941 22.2621 131.395 16 0.114559 0.0645868 -3.08971 3.58889 19.279 111.058 16 0.114558 0.0657544 -3.08971 6.77361 22.8987 132.176 54 0.120784 0.72989 -3.07907 4.59223 4.85975 11.5122 70 0.118788 -1.62839 -3.10036 -1.56224 9.77108 54.0239 16 0.157307 0.242473 -3.08733 -4.67815 3.77458 16.1319,16,20,12,8,4,0.5
401,ID_951b9f1be,37 0.133356 -3.09278 3.13914 -8.82505 3.62156 13.9685 37 0.15252 -3.12862 -3.0883 -9.02792 6.59799 31.7983 27 0.173997 -3.12438 -3.12274 -9.24007 7.56848 37.546 14 0.168567 3.09692 3.12163 -6.43685 8.75515 45.5907 61 0.112537 0.0574675 -3.07299 5.06907 4.86703 20.2748 2 0.152512 -3.11085 -3.0883 -9.68169 5.7744 27.0123 16 0.112537 0.0348439 -3.07299 5.13492 4.15729 14.925 6 0.112399 0.0137767 -3.07277 4.89602 7.11967 32.473 2 0.1124 0.0825816 -3.07277 5.50614 11.9174 60.2657 16 0.1124 0.0425444 -3.07277 -1.79076 15.026 81.4069 71 0.109044 0.000613474 -3.06756 5.51483 9.34515 44.9114,11,12,10,2,1,0.769
1737,ID_fd8b62447,43 0.0819384 -3.08216 -3.06497 -18.0469 9.85662 55.8696 14 0.239417 0.583643 3.13636 -24.7931 13.7532 84.751 6 0.0772875 3.06028 -3.06028 -33.298 11.3465 67.8827 16 0.239416 3.00908 3.13635 -2.34316 17.1192 101.18,4,2,1,1,3,0.2
2304,ID_05ac02572,28 0.193972 0.0247563 -3.11848 -3.03206 3.67706 14.3009 70 0.154612 0.011971 -3.10621 -23.2557 8.22553 47.9629 71 0.160451 -0.0306741 -3.13888 -15.1772 10.2779 58.4518 9 0.107024 -0.223113 -3.0839 -23.8994 8.9357 54.9738 16 0.193972 -0.0366161 -3.11848 -0.544932 6.06978 28.0139 6 0.193927 -0.0982322 -3.1181 -0.65383 11.7399 64.9733 46 0.193927 -0.0897926 -3.1181 -5.03072 17.9827 100.139 2 0.160451 -0.0338027 -3.13888 -16.4882 12.7008 79.6828 16 0.160451 -0.021775 -3.13889 -25.3901 16.4674 103.167 46 0.160451 0.134779 -3.13888 -20.8154 20.6386 128.954 46 0.160451 -0.316285 -3.13889 -16.1898 20.3051 129.155 2 0.16045 0.11636 -3.13888 -18.437 25.7865 170.519,12,11,7,4,5,0.438
314,ID_78e70b9e1,66 0.171469 0.044309 -3.11443 3.06508 9.07174 45.2117 2 0.171469 -0.036361 -3.11442 6.46592 21.224 119.79 46 0.171474 2.96652 -3.11442 -17.2708 6.84627 34.6365 16 0.171469 3.10021 -3.11443 -18.7417 10.9032 58.1452,4,3,1,2,3,0.167
235,ID_f31750d23,61 0.172852 -0.138247 -3.0989 -0.135995 6.98614 33.258 28 0.162878 0.00180066 -3.04912 2.69363 8.11492 39.7933 51 0.106881 -0.24214 -3.09126 4.67483 12.5122 67.6425 8 0.139517 -0.0664029 -3.00229 11.7205 5.4593 22.1945 18 0.165796 -0.0577746 -3.07629 12.2008 6.69002 29.0616 40 0.267971 -0.213902 3.1263 12.9461 7.83434 35.2165 28 0.127745 0.0350134 -3.13174 12.2639 8.72289 41.2293 61 0.133654 -0.0356317 -3.13327 11.5618 9.42222 47.2499 51 0.106709 3.09336 -3.12029 -11.6204 8.93695 50.5011 28 0.160823 -3.01086 -3.14111 -27.6339 17.6386 107.086 46 0.165796 0.224772 -3.0763 4.08381 3.57934 8.85143 16 0.106881 -0.123709 -3.09127 3.62972 14.1701 78.6755 16 0.172853 0.0370111 -3.0989 -4.443 11.2986 64.6502 2 0.139517 0.966209 -3.00229 18.7603 7.82369 28.8585 16 0.106881 -0.328179 -3.09126 8.21144 12.5158 67.2836 8 0.160819 -3.05151 -3.14007 -25.7259 8.2565 49.0097 2 0.160812 -3.05978 -3.14007 -26.9103 9.06682 54.7177 2 0.160813 3.14088 -3.14007 -26.2998 9.41331 57.4086 2 0.160816 -3.01942 -3.14007 -22.2901 6.47007 39.0347,19,16,10,6,9,0.4
846,ID_07327319c,37 0.205778 -2.03614 3.10168 10.1577 4.03297 12.0932 46 0.120203 3.00739 -3.08904 -12.9493 6.56949 34.787 9 0.119107 -3.08548 -3.13074 -7.46156 5.23047 26.662 28 0.168542 -3.12577 -3.09794 -8.17347 10.1895 55.2083 16 0.120202 3.13766 -3.08904 -9.24204 2.88107 11.9334 2 0.168543 -3.14051 -3.09794 -7.27763 11.4552 64.7404 46 0.168542 0.869529 -3.09794 1.95965 22.6359 128.698,7,5,2,3,5,0.2
2555,ID_503a3d381,66 0.166942 0.0037545 -3.10203 -3.54916 5.52173 26.9126 28 0.132337 0.0353445 -3.06891 -14.4575 6.1975 34.7549 40 0.112908 0.0705512 -3.0448 -23.7643 7.8828 50.6475 61 0.145844 -0.0484295 -3.07109 -19.7532 8.57904 53.3329 70 0.144628 -0.0275039 -3.04922 -28.2165 13.6421 87.0442 46 0.166942 0.0223275 -3.10204 -1.49697 13.386 76.7314 2 0.166942 -0.132225 -3.10204 -4.76908 10.7763 61.5719 16 0.144629 0.239541 -3.04922 -18.8868 12.5299 78.7117,8,9,6,3,2,0.545
1697,ID_5760c5a00,35 0.16276 -1.76609 -3.09561 -21.516 6.53854 38.4552 16 0.162758 -0.119335 -3.09561 5.89838 11.0323 61.845 2 0.162758 -0.181727 -3.09561 12.9146 15.8408 90.7907 16 0.162757 -0.168766 -3.09562 14.6187 18.5601 112.716 46 0.162757 -1.09932 -3.09562 14.7655 18.2363 112.796,5,12,2,10,3,0.133
4055,ID_4593c6b86,35 0.167039 3.13469 -3.11603 -11.2724 4.70743 21.0531 35 0.151542 -3.13839 3.12721 -10.4657 5.47484 26.233 8 0.144232 -3.13783 3.13685 -11.0088 8.25395 43.7145 40 0.138208 3.13372 -3.13348 -4.34697 12.9381 70.5009 35 0.1549 2.81914 -3.10998 -8.75576 13.063 70.7453 35 0.175126 0.049655 -3.12511 3.23639 10.854 55.2662 27 0.197661 -3.13709 3.12606 -12.3726 20.1989 115.641 37 0.188233 -1.53341 -3.12155 15.8528 5.59121 23.9413 2 0.144228 3.11153 3.13685 -8.57907 6.79918 37.446 16 0.167034 1.11406 -3.11604 -25.4575 6.34577 36.2137 16 0.151544 0.63145 3.1272 -18.5746 7.19949 41.2993 16 0.175126 -0.0972314 -3.12511 2.96791 12.7881 67.7859 47 0.197822 -3.13998 3.12822 -10.0638 21.4263 121.728 16 0.188236 -1.47887 -3.12156 11.9135 5.2749 24.3036 46 0.175125 -1.62567 -3.12511 14.1434 11.7369 63.9611,15,13,10,3,5,0.556
1032,ID_b28e4dae7,66 0.190597 -2.27329 -3.06798 10.0656 7.10643 33.0062 35 0.15084 -2.89212 -3.08283 1.23466 9.45784 50.6935 28 0.170792 0.242166 -3.08501 -5.51314 8.64891 46.5387 35 0.160016 0.15068 -3.11529 -1.98302 6.04438 29.3538 40 0.131111 0.108468 -3.09201 -0.400409 4.65706 19.6365 51 0.205032 0.108498 -3.10499 -4.08913 4.04638 17.4551 28 0.135325 0.659062 -3.10394 -18.4308 11.1706 66.167 9 0.173725 2.54124 -3.12909 -24.0248 10.8737 67.7844 70 0.0535296 1.43665 -3.08226 -36.9623 11.751 75.8833 16 0.190597 -1.92804 -3.06798 18.311 6.6016 27.0258 2 0.150841 -2.69186 -3.08283 5.37838 8.51693 42.9844 2 0.150837 0.401872 -3.08283 21.6815 22.1298 122.133 16 0.15084 -2.94481 -3.08283 -0.884033 10.2741 56.7166 16 0.170792 0.32523 -3.08501 -8.50929 8.89685 50.1697,14,16,11,5,3,0.579
2442,ID_899f68208,12 0.140221 0.090737 -3.08704 3.14618 3.50191 13.3995 28 0.148758 0.0215624 -3.11979 3.60729 6.36484 29.7818 6 0.142223 -3.10591 -3.10846 -7.17434 6.57909 34.6734 66 0.141719 3.13463 -3.12393 -7.79691 3.99465 17.184 16 0.140222 0.104243 -3.08703 28.095 12.1471 51.6197 16 0.148758 -0.0197848 -3.11979 -1.40494 10.0867 59.4114,6,9,6,3,0,0.667
